airport,category,number,percentage,year
GNV,nonhub,4949,0.0006087275466373368,2006
IPL,nonhub,1965,0.00024169521704230491,2006
SBP,nonhub,6806,0.000837138751750599,2006
MKG,nonhub,2168,0.00026666423946448704,2006
MQT,nonhub,3981,0.0004896634397177689,2006
FAY,nonhub,4243,0.0005218894686567429,2006
AGS,nonhub,4365,0.0005368954821321429,2006
VLD,nonhub,1149,0.00014132712691175997,2006
MWA,nonhub,1283,0.00015780914171260925,2006
APN,nonhub,945,0.00011623510437912373,2006
PAH,nonhub,1383,0.00017010915275801917,2006
FMN,nonhub,2695,0.0003314852976737973,2006
BQK,nonhub,1031,0.00012681311387817626,2006
ABY,nonhub,1613,0.00019839917816246198,2006
DHN,nonhub,1893,0.00023283920908960976,2006
OAJ,nonhub,2695,0.0003314852976737973,2006
MEI,nonhub,956,0.00011758810559411883,2006
GTR,nonhub,1028,0.00012644411354681396,2006
PFN,nonhub,4346,0.0005345584800335151,2006
LYH,nonhub,2750,0.0003382503037487728,2006
MCN,nonhub,1184,0.00014563213077765344,2006
EYW,nonhub,11817,0.0014534923052360901,2006
APF,nonhub,1113,0.0001368991229354124,2006
EWN,nonhub,3091,0.0003801933414136206,2006
TUP,nonhub,1788,0.00021992419749192934,2006
PIB,nonhub,707,8.696107809104812e-05,2006
JST,nonhub,1451,0.0001784731602688979,2006
HOT,nonhub,1285,0.00015805514193351745,2006
SGU,nonhub,3777,0.0004645714171851326,2006
HVN,nonhub,1913,0.00023529921129869174,2006
ART,nonhub,1554,0.00019114217164567014,2006
STC,nonhub,1669,0.00020528718434789154,2006
IMT,nonhub,1346,0.0001655581486712175,2006
SBY,nonhub,3510,0.00043173038769388813,2006
IPT,nonhub,2125,0.0002613752347149608,2006
ATY,nonhub,1412,0.00017367615596118805,2006
BJI,nonhub,1467,0.0001804411620361635,2006
OXR,nonhub,1559,0.00019175717219794064,2006
WFB,nonhub,4764,0.0005859725262033286,2006
JNU,nonhub,3676,0.0004521484060292686,2006
ADQ,nonhub,3324,0.0004088523671494257,2006
ALW,nonhub,1011,0.00012435311166909428,2006
ESC,nonhub,1219,0.0001499371346435469,2006
MHK,nonhub,1349,0.0001651999507216752,2007
LMT,nonhub,1796,0.00021994003817355718,2007
EAT,nonhub,2298,0.00028141548314188997,2007
YKM,nonhub,3078,0.00037693509882973775,2007
EKO,nonhub,1804,0.0002209197265395864,2007
SLE,nonhub,923,0.00011303154523061987,2007
RDD,nonhub,3709,0.00045420801870029153,2007
LWS,nonhub,3428,0.0004197964648435156,2007
CLM,nonhub,2812,0.0003443604606592666,2007
ACV,nonhub,4863,0.0005955280655000047,2007
PUW,nonhub,1667,0.00020414256327133621,2007
BFI,nonhub,4808,0.0005887927079835539,2007
GGG,nonhub,1115,0.00013654406601532087,2007
GTF,nonhub,5304,0.0006495333866773648,2007
BIL,nonhub,6058,0.0007418690151756177,2007
CPR,nonhub,3785,0.000463515058177569,2007
RDM,nonhub,8624,0.001056104058579486,2007
CIC,nonhub,1823,0.00022324648640890577,2007
FSM,nonhub,3443,0.00042163338052982036,2007
DQF,nonhub,350,4.286136601377785e-05,2007
DLH,nonhub,3613,0.000442451758307941,2007
CEC,nonhub,1308,0.0001601790478457755,2007
STS,nonhub,1436,0.00017585406170224282,2007
DRO,nonhub,2042,0.00025006545542895534,2007
DBQ,nonhub,1329,0.00016275072980660217,2007
HLN,nonhub,3270,0.00040044761961443876,2007
ACT,nonhub,3595,0.0004402474594843753,2007
BTM,nonhub,1501,0.00018381402967623014,2007
PIA,nonhub,7099,0.0008693509638051683,2007
CWA,nonhub,5669,0.0006942316683774475,2007
FOE,nonhub,114,1.3960559215916212e-05,2007
GJT,nonhub,2732,0.0003345635769989745,2007
SPS,nonhub,2262,0.00027700688549475857,2007
ABR,nonhub,2526,0.00030933660157372243,2007
BRD,nonhub,1546,0.00018932477673514443,2007
ROW,nonhub,1407,0.00017230269137538695,2007
BIS,nonhub,2517,0.00030823445216193957,2007
MSO,nonhub,5905,0.0007231324751753091,2007
LNK,nonhub,3223,0.00039469195046401714,2007
ALO,nonhub,1265,0.0001549132228783685,2007
RFD,nonhub,6087,0.0007454203855024736,2007
LSE,nonhub,3360,0.00041146911373226734,2007
FCA,nonhub,4278,0.000523888353734119,2007
BLI,nonhub,4669,0.0005717706226237965,2007
EAU,nonhub,1409,0.00017254761346689425,2007
MCW,nonhub,1750,0.00021430683006888924,2007
RAP,nonhub,3346,0.00040975465909171623,2007
GFK,nonhub,3981,0.00048751742314528463,2007
BFL,nonhub,5124,0.0006274903984417077,2007
GRI,nonhub,1457,0.0001784257436630695,2007
SUX,nonhub,1546,0.00018932477673514443,2007
IDA,nonhub,3134,0.0003837929173919422,2007
SPI,nonhub,2346,0.0002872936133380652,2007
BZN,nonhub,5558,0.0006806384922987922,2007
PIR,nonhub,1546,0.00018932477673514443,2007
MLU,nonhub,5016,0.0006142646055003134,2007
YUM,nonhub,4216,0.0005162957688973925,2007
MOT,nonhub,1413,0.00017303745764990884,2007
GYY,nonhub,173,2.118576091538162e-05,2007
FAR,nonhub,4862,0.0005954056044542511,2007
RST,nonhub,5869,0.0007187238775281777,2007
