id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
119,RIC,dest,37.50516667,-77.31966667,745,742,0,0
120,RIC,origin,37.50516667,-77.31966667,750,744,0,0
120,PHL,dest,39.87195278,-75.24114083,750,744,0,0
121,MSP,origin,44.88054694,-93.2169225,1119,,1,0
121,PIT,dest,40.49146583,-80.23287083,1219,,1,0
122,PIT,origin,40.49146583,-80.23287083,1619,,1,0
122,RIC,dest,37.50516667,-77.31966667,1619,,1,0
123,TPA,origin,27.97547222,-82.53325,1055,,1,0
123,CLT,dest,35.21401111,-80.94312583,1055,,1,0
124,DCA,origin,38.85208333,-77.03772222,1455,,1,0
124,MHT,dest,42.93451639,-71.43705583,1455,,1,0
125,TPA,origin,27.97547222,-82.53325,1200,,1,0
125,DCA,dest,38.85208333,-77.03772222,1200,,1,0
126,EWR,origin,40.69249722,-74.16866056,700,655,0,0
126,PIT,dest,40.49146583,-80.23287083,700,655,0,0
127,PIT,origin,40.49146583,-80.23287083,944,,1,0
127,MCI,dest,39.29760528,-94.71390556,844,,1,0
128,CLT,origin,35.21401111,-80.94312583,2230,,1,0
128,BOS,dest,42.3643475,-71.00517917,2230,,1,0
129,TPA,origin,27.97547222,-82.53325,1935,,1,0
129,CLT,dest,35.21401111,-80.94312583,1935,,1,0
130,PIT,origin,40.49146583,-80.23287083,1409,,1,0
130,EWR,dest,40.69249722,-74.16866056,1409,,1,0
131,TPA,origin,27.97547222,-82.53325,1100,,1,0
131,PIT,dest,40.49146583,-80.23287083,1100,,1,0
132,PHL,origin,39.87195278,-75.24114083,940,,1,0
132,SYR,dest,43.11118694,-76.10631056,940,,1,0
133,CLT,origin,35.21401111,-80.94312583,1350,,1,0
133,CAE,dest,33.93884,-81.11953944,1350,,1,0
134,DTW,origin,42.21205889,-83.34883583,1109,,1,0
134,CLT,dest,35.21401111,-80.94312583,1109,,1,0
135,PIT,origin,40.49146583,-80.23287083,2050,,1,0
135,BOS,dest,42.3643475,-71.00517917,2050,,1,0
136,TPA,origin,27.97547222,-82.53325,1719,,1,0
136,PIT,dest,40.49146583,-80.23287083,1719,,1,0
137,DTW,origin,42.21205889,-83.34883583,645,642,0,0
137,PIT,dest,40.49146583,-80.23287083,645,642,0,0
138,LGA,origin,40.77724306,-73.87260917,909,,1,0
138,PIT,dest,40.49146583,-80.23287083,909,,1,0
139,MCI,origin,39.29760528,-94.71390556,1314,,1,0
139,PHL,dest,39.87195278,-75.24114083,1414,,1,0
