id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
115,"DCA",38.85208333,-77.03772222,"1245","",1.00,0.00
116,"DCA",38.85208333,-77.03772222,"1500","",1.00,0.00
116,"BUF",42.94052472,-78.73216667,"1500","",1.00,0.00
117,"PBI",26.68316194,-80.09559417,"1145","",1.00,0.00
117,"DCA",38.85208333,-77.03772222,"1145","",1.00,0.00
118,"CMH",39.99798528,-82.89188278,"1520","",1.00,0.00
118,"PHL",39.87195278,-75.24114083,"1520","",1.00,0.00
119,"PHL",39.87195278,-75.24114083,"1745","",1.00,0.00
119,"ORF",36.89461111,-76.20122222,"1745","",1.00,0.00
120,"CLT",35.21401111,-80.94312583,"1655","",1.00,0.00
120,"ORD",41.979595,-87.90446417,"1655","",1.00,0.00
121,"ILM",34.27061111,-77.90255556,"1517","",1.00,0.00
121,"CLT",35.21401111,-80.94312583,"1517","",1.00,0.00
122,"PBI",26.68316194,-80.09559417,"1036","",1.00,0.00
122,"PHL",39.87195278,-75.24114083,"1036","",1.00,0.00
123,"CLT",35.21401111,-80.94312583,"1905","",1.00,0.00
123,"CLE",41.41089417,-81.84939667,"1905","",1.00,0.00
124,"RSW",26.53616667,-81.75516667,"1630","",1.00,0.00
124,"CLT",35.21401111,-80.94312583,"1630","",1.00,0.00
125,"CLT",35.21401111,-80.94312583,"1105","",1.00,0.00
125,"CHS",32.89864639,-80.04050583,"1105","",1.00,0.00
126,"LGA",40.77724306,-73.87260917,"0820","0818",0.00,0.00
126,"CLT",35.21401111,-80.94312583,"0820","0818",0.00,0.00
127,"MDT",40.19349528,-76.76340361,"1550","",1.00,0.00
127,"PIT",40.49146583,-80.23287083,"1550","",1.00,0.00
128,"CLT",35.21401111,-80.94312583,"1850","",1.00,0.00
128,"DCA",38.85208333,-77.03772222,"1850","",1.00,0.00
129,"SRQ",27.39533333,-82.55411111,"1620","",1.00,0.00
129,"CLT",35.21401111,-80.94312583,"1620","",1.00,0.00
130,"PIT",40.49146583,-80.23287083,"2110","",1.00,0.00
130,"FLL",26.07258333,-80.15275,"2110","",1.00,0.00
131,"LGA",40.77724306,-73.87260917,"0655","0651",0.00,0.00
131,"RDU",35.87763889,-78.78747222,"0655","0651",0.00,0.00
132,"PIT",40.49146583,-80.23287083,"1140","",1.00,0.00
132,"ORF",36.89461111,-76.20122222,"1140","",1.00,0.00
133,"CLT",35.21401111,-80.94312583,"1100","",1.00,0.00
133,"MIA",25.79325,-80.29055556,"1100","",1.00,0.00
134,"LGA",40.77724306,-73.87260917,"0815","0812",0.00,0.00
